date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index,simple_sentiment_7day,weighted_sentiment_7day
2022-11-14,1,-0.632996632996633,NA,NA,NA,-0.632996632996633,NA,33014,117,-0.632996632996633,-0.632996632996633,-0.632996632996633,-0.632996632996633,NA,NA
2022-11-15,1,-0.526011560693642,NA,NA,NA,-0.526011560693642,NA,32853,135,-0.526011560693642,-0.526011560693642,-0.526011560693642,-0.526011560693642,NA,NA
2022-11-16,1,-0.579418344519016,NA,NA,NA,-0.579418344519016,NA,36501,104,-0.579418344519016,-0.579418344519016,-0.579418344519016,-0.579418344519016,NA,NA
2022-11-17,1,-0.548022598870056,NA,NA,NA,-0.548022598870056,NA,33407,101,-0.548022598870056,-0.548022598870056,-0.548022598870056,-0.548022598870056,NA,NA
2022-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21,1,-0.513409961685824,NA,NA,NA,-0.513409961685824,NA,23239,95,-0.513409961685824,-0.513409961685824,-0.513409961685824,-0.513409961685824,NA,NA
2022-11-22,1,-0.544247787610619,NA,NA,NA,-0.544247787610619,NA,40930,119,-0.544247787610619,-0.544247787610619,-0.544247787610619,-0.544247787610619,NA,NA
2022-11-23,1,-0.582150101419878,NA,NA,NA,-0.582150101419878,NA,35686,106,-0.582150101419878,-0.582150101419878,-0.582150101419878,-0.582150101419878,NA,NA
2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,1,-0.49236641221374,NA,NA,NA,-0.49236641221374,NA,34143,107,-0.49236641221374006,-0.49236641221374,-0.49236641221373995,-0.49236641221374,NA,NA
2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-28,1,-0.639024390243902,NA,NA,NA,-0.639024390243902,NA,16555,91,-0.639024390243902,-0.639024390243902,-0.639024390243902,-0.639024390243902,NA,NA
2022-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30,1,-0.463414634146341,NA,NA,NA,-0.463414634146341,NA,20484,81,-0.463414634146341,-0.463414634146341,-0.463414634146341,-0.463414634146341,NA,NA
2022-12-01,1,-0.532091097308489,NA,NA,NA,-0.532091097308489,NA,32794,125,-0.532091097308489,-0.532091097308489,-0.532091097308489,-0.532091097308489,NA,NA
2022-12-02,1,-0.542857142857143,NA,NA,NA,-0.542857142857143,NA,38662,129,-0.542857142857143,-0.542857142857143,-0.542857142857143,-0.542857142857143,NA,NA
2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-05,1,-0.49438202247191,NA,NA,NA,-0.49438202247191,NA,31314,144,-0.49438202247191,-0.49438202247191,-0.49438202247190993,-0.49438202247191004,NA,NA
2022-12-06,1,-0.438155136268344,NA,NA,NA,-0.438155136268344,NA,39017,133,-0.438155136268344,-0.438155136268344,-0.438155136268344,-0.438155136268344,NA,NA
2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-08,1,-0.579399141630901,NA,NA,NA,-0.579399141630901,NA,27415,93,-0.579399141630901,-0.579399141630901,-0.579399141630901,-0.579399141630901,NA,NA
2022-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-12,1,-0.529411764705882,NA,NA,NA,-0.529411764705882,NA,92178,239,-0.529411764705882,-0.529411764705882,-0.529411764705882,-0.529411764705882,NA,NA
2022-12-13,1,-0.619210977701544,NA,NA,NA,-0.619210977701544,NA,74162,299,-0.619210977701544,-0.619210977701544,-0.619210977701544,-0.619210977701544,NA,NA
2022-12-14,1,-0.569979716024341,NA,NA,NA,-0.569979716024341,NA,30911,134,-0.569979716024341,-0.569979716024341,-0.569979716024341,-0.569979716024341,NA,NA
2022-12-15,1,-0.675247524752475,NA,NA,NA,-0.675247524752475,NA,32501,150,-0.675247524752475,-0.675247524752475,-0.675247524752475,-0.675247524752475,NA,NA
2022-12-16,1,-0.597254004576659,NA,NA,NA,-0.597254004576659,NA,24937,129,-0.597254004576659,-0.597254004576659,-0.597254004576659,-0.597254004576659,NA,NA
2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-22,4,-0.598526703499079,NA,NA,NA,-0.598526703499079,0,164800,648,-0.598526703499079,-0.598526703499079,-0.598526703499079,-0.598526703499079,NA,NA
2022-12-22,4,-0.598526703499079,NA,NA,NA,-0.598526703499079,0,164800,648,-0.598526703499079,-0.598526703499079,-0.598526703499079,-0.598526703499079,NA,NA
2022-12-22,4,-0.598526703499079,NA,NA,NA,-0.598526703499079,0,164800,648,-0.598526703499079,-0.598526703499079,-0.598526703499079,-0.598526703499079,NA,NA
